Time_us,Average_velocity_um_per_us
0.0,0.0
0.47619047619047616,-0.47577363335873013
0.9523809523809523,-0.9515472667174603
1.4285714285714284,-1.3185131872190474
1.9047619047619047,-1.67243848295873
2.380952380952381,-2.0946644994920636
2.8571428571428568,-2.535491563390476
3.333333333333333,-2.949669366
3.8095238095238093,-3.3512445622857143
4.285714285714286,-3.6508729709714287
4.761904761904762,-3.874190333968254
5.238095238095238,-3.969257780015873
5.7142857142857135,-3.9166994223809524
6.19047619047619,-3.7819337310698415
6.666666666666666,-3.4996558148444445
7.142857142857142,-3.2012744783809524
7.619047619047619,-2.854797593473016
8.095238095238095,-2.5148158718063494
8.571428571428571,-2.213503028971429
9.047619047619047,-1.9147466852063495
9.523809523809524,-1.6829241352698414
10.0,-1.4511015853333336
10.476190476190476,-1.3022187088761905
10.952380952380953,-1.159601059552381
11.428571428571427,-1.0776256535238096
11.904761904761903,-1.0087154462539683
12.38095238095238,-0.9509475494698413
12.857142857142856,-0.8976053367571429
13.333333333333332,-0.836870277688889
13.809523809523808,-0.7713826745349207
14.285714285714285,-0.6887457206666667
14.761904761904761,-0.589073745088889
15.238095238095237,-0.4742840015333335
15.714285714285714,-0.33630513930000017
16.19047619047619,-0.19120574080000016
16.666666666666664,-0.028470595500000445
17.142857142857142,0.13599165494285748
17.619047619047617,0.3082898453857137
18.095238095238095,0.4804815650825394
18.57142857142857,0.6513327212952374
19.047619047619047,0.8221838775079369
19.523809523809522,0.9832753546333328
20.0,1.1440291265999998
20.476190476190474,1.3016087568365073
20.952380952380953,1.458669655739683
21.428571428571427,1.6225414071428568
21.904761904761905,1.7886531722571428
22.38095238095238,1.9655759585873007
22.857142857142854,2.148436404238094
23.333333333333332,2.337474924611111
23.809523809523807,2.531808937603174
24.285714285714285,2.714372871014286
24.76190476190476,2.8814258468380944
25.238095238095237,3.023970051604762
25.71428571428571,3.115475372314285
26.19047619047619,3.1864650648253967
26.666666666666664,3.1835984958222223
27.142857142857142,3.170792611352381
27.619047619047617,3.077869820393651
28.095238095238095,2.984718312849206
28.57142857142857,2.8234092627619054
29.047619047619047,2.6621002126746034
29.523809523809522,2.470399261958731
30.0,2.2751828302
30.476190476190474,2.0697999863206356
30.95238095238095,1.8617032273412717
31.428571428571427,1.6532997268380962
31.9047619047619,1.4447533810174618
32.38095238095238,1.2454039816730165
32.857142857142854,1.0528453509476208
33.33333333333333,0.8734716975555574
33.80952380952381,0.709072411277777
34.285714285714285,0.5584771707142853
34.76190476190476,0.4322946406269843
35.238095238095234,0.31910459813333386
35.714285714285715,0.24403724949999983
36.19047619047619,0.17504755535555566
36.666666666666664,0.14128063154444476
37.14285714285714,0.10803902135238125
37.61904761904762,0.08736116188253965
38.095238095238095,0.06668330241269835
38.57142857142857,0.04230681124285718
39.047619047619044,0.017665185184127158
39.52380952380952,-0.01604011332380908
40.0,-0.051653553399999885
40.476190476190474,-0.08961980399999987
40.95238095238095,-0.12850529219999993
41.42857142857142,-0.15813959853809512
41.904761904761905,-0.18190976773968265
42.38095238095238,-0.1933258340714286
42.857142857142854,-0.1926332432857143
43.33333333333333,-0.19225101677777778
43.80952380952381,-0.19233824884126985
44.285714285714285,-0.19976381421428555
44.76190476190476,-0.22507129523809513
45.238095238095234,-0.25874174634920605
45.71428571428571,-0.32951337384761836
46.19047619047619,-0.4059883760380952
46.666666666666664,-0.5509038745333324
47.14285714285714,-0.6958193730285698
47.61904761904761,-0.9014378887936487
48.095238095238095,-1.1089402913015887
48.57142857142857,-1.329627051171429
49.047619047619044,-1.552408999614285
49.52380952380952,-1.7461740410920616
50.0,-1.9305663648333333
50.476190476190474,-2.074495319641269
50.95238095238095,-2.196523997449205
51.42857142857142,-2.294266796257142
51.904761904761905,-2.371471536898413
52.38095238095238,-2.4419299710793654
52.857142857142854,-2.5036182068619044
53.33333333333333,-2.562790939755555
53.8095238095238,-2.6168043248873007
54.285714285714285,-2.6646592931809523
54.76190476190476,-2.690773183849206
55.238095238095234,-2.7127091962349206
55.71428571428571,-2.7020823337714286
56.19047619047619,-2.6912183990825396
56.666666666666664,-2.6451492389222224
57.14285714285714,-2.5990800787619053
57.61904761904761,-2.5215979158492074
58.095238095238095,-2.4406124440793655
58.57142857142857,-2.3444126726666674
59.047619047619044,-2.2442327891111113
59.52380952380952,-2.142594791642858
60.0,-2.0402881955999996
60.476190476190474,-1.9409640009285716
60.95238095238095,-1.8438119598571436
61.42857142857142,-1.7452659055000013
61.9047619047619,-1.6451577653333351
62.38095238095238,-1.5374619761650803
62.857142857142854,-1.416540009838096
63.33333333333333,-1.2867418746222232
63.8095238095238,-1.1313527070253986
64.28571428571428,-0.9708019012857175
64.76190476190476,-0.7811165158063507
65.23809523809524,-0.5904466455682535
65.71428571428571,-0.3781181106380992
66.19047619047619,-0.16578957570793845
66.66666666666666,0.04917267033332692
67.14285714285714,0.26431363248570994
67.61904761904762,0.47621569613650805
68.09523809523809,0.6874516959825385
68.57142857142857,0.8892825864571443
69.04761904761904,1.087499476571426
69.52380952380952,1.163736742
70.0,1.163736742
